id	title	description	link	image_link	availability	price	condition	brand	mpn	identifier_exists	google_product_category	product_type	shipping	shipping_label
EB-10031-11N	CNC Tool Cabinet - H1000 EB-10031-11N	CNC Tool Cabinet - H1000 EB-10031-11N. Tool Holders: BT-30. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/eb-10031-11n/	https://www.storagesystem.com.my/feed-img/asset3__EB-10031-11N.jpg	in_stock	4277.75 MYR	new	Tanko	EB-10031-11N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EB-10031-22N	CNC Tool Cabinet - H1000 EB-10031-22N	CNC Tool Cabinet - H1000 EB-10031-22N. Tool Holders: BT-40. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/eb-10031-22n/	https://www.storagesystem.com.my/feed-img/asset3__EB-10031-22N.jpg	in_stock	4338.00 MYR	new	Tanko	EB-10031-22N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EB-10032-33N	CNC Tool Cabinet - H1000 EB-10032-33N	CNC Tool Cabinet - H1000 EB-10032-33N. Tool Holders: BT-50. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/eb-10032-33n/	https://www.storagesystem.com.my/feed-img/asset3__EB-10032-33N.jpg	in_stock	4265.70 MYR	new	Tanko	EB-10032-33N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EB-10032-66N	CNC Tool Cabinet - H1000 EB-10032-66N	CNC Tool Cabinet - H1000 EB-10032-66N. Tool Holders: HSK-40. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/eb-10032-66n/	https://www.storagesystem.com.my/feed-img/asset3__EB-10032-66N.jpg	in_stock	4265.70 MYR	new	Tanko	EB-10032-66N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
EB-10032-88N	CNC Tool Cabinet - H1000 EB-10032-88N	CNC Tool Cabinet - H1000 EB-10032-88N. Tool Holders: HSK-63. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/eb-10032-88n/	https://www.storagesystem.com.my/feed-img/asset3__EB-10032-88N.jpg	in_stock	4277.75 MYR	new	Tanko	EB-10032-88N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
ED-10031-11N	CNC Tool Cabinet - H1000 ED-10031-11N	CNC Tool Cabinet - H1000 ED-10031-11N. Tool Holders: BT-30. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/ed-10031-11n/	https://www.storagesystem.com.my/feed-img/asset3__ED-10031-11N.jpg	in_stock	4832.05 MYR	new	Tanko	ED-10031-11N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
ED-10031-22N	CNC Tool Cabinet - H1000 ED-10031-22N	CNC Tool Cabinet - H1000 ED-10031-22N. Tool Holders: BT-40. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/ed-10031-22n/	https://www.storagesystem.com.my/feed-img/asset3__ED-10031-22N.jpg	in_stock	4916.40 MYR	new	Tanko	ED-10031-22N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
ED-10032-33N	CNC Tool Cabinet - H1000 ED-10032-33N	CNC Tool Cabinet - H1000 ED-10032-33N. Tool Holders: BT-50. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/ed-10032-33n/	https://www.storagesystem.com.my/feed-img/asset3__ED-10032-33N.jpg	in_stock	4807.95 MYR	new	Tanko	ED-10032-33N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
ED-10032-66N	CNC Tool Cabinet - H1000 ED-10032-66N	CNC Tool Cabinet - H1000 ED-10032-66N. Tool Holders: HSK-40. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/ed-10032-66n/	https://www.storagesystem.com.my/feed-img/asset3__ED-10032-66N.jpg	in_stock	4844.10 MYR	new	Tanko	ED-10032-66N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
ED-10032-88N	CNC Tool Cabinet - H1000 ED-10032-88N	CNC Tool Cabinet - H1000 ED-10032-88N. Tool Holders: HSK-63. Part of the Tanko CNC Tool Storage range. Supplied in Malaysia by Primaxs Marketing (M) Sdn Bhd, the exclusive Tanko distributor since 2006. Stock held in Selangor and quoted in Ringgit. Free delivery and installation in Selangor and the Klang Valley; outstation delivery quoted separately. 1-year warranty against manufacturing defects, administered from our Selangor office.	https://www.storagesystem.com.my/cnc-tool/ea-10n/ed-10032-88n/	https://www.storagesystem.com.my/feed-img/asset3__ED-10032-88N.jpg	in_stock	4820.00 MYR	new	Tanko	ED-10032-88N	no	4207	CNC Tool Storage > Standard	MY::Selangor and Klang Valley:0 MYR	selangor-free
